City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
342,Lerwick,GB,60.15,-1.15,50.0,81,69,17.22,light rain
343,Alappuzha,IN,9.49,76.33,78.69,79,97,3.36,overcast clouds
344,Bilaspur,IN,22.08,82.15,68.88,62,0,1.95,clear sky
345,Chaykovskiy,RU,56.77,54.11,32.0,94,100,1.99,overcast clouds
346,Hambantota,LK,6.12,81.12,78.64,81,100,11.68,overcast clouds
347,Teguldet,RU,57.31,88.17,26.42,95,99,7.36,overcast clouds
348,Komsomolskiy,UZ,40.43,71.72,46.4,52,0,6.93,clear sky
349,El Dorado,US,38.77,-120.52,61.0,54,1,8.05,clear sky
350,Nizhniy Kuranakh,RU,58.84,125.49,25.43,93,100,1.5,overcast clouds
351,Tahta,EG,26.77,31.5,75.2,41,0,6.93,clear sky
352,Khakhea,BW,-24.69,23.49,82.02,30,100,14.03,light rain
353,Sochi,RU,43.6,39.73,66.99,54,1,11.18,clear sky
354,Pevek,RU,69.7,170.31,26.6,97,100,8.55,overcast clouds
355,Avera,US,33.19,-82.53,80.01,69,40,3.36,scattered clouds
356,Beidao,CN,34.57,105.89,50.68,47,65,3.18,broken clouds
357,Bereda,ES,43.27,-7.54,46.0,98,81,8.01,broken clouds
358,Parakou,BJ,9.34,2.63,75.85,50,20,4.14,few clouds
359,Richards Bay,ZA,-28.78,32.04,71.17,80,94,13.02,overcast clouds
360,Grand-Santi,GF,4.25,-54.38,88.14,50,100,3.83,overcast clouds
361,Kaitangata,NZ,-46.28,169.85,48.99,92,100,3.0,overcast clouds
